id|name|owner|category|customer|url|docs|profile|saturation|distribution|willingness|economics|native
shopify|Shopify App Store|Shopify|E-commerce|SMB|https://apps.shopify.com/|https://shopify.dev/docs/apps/launch/billing|saas|9|8|8|6|yes
connect-iq|Garmin Connect IQ|Garmin|Wearables|consumer|https://apps.garmin.com/|https://developer.garmin.com/connect-iq/monetization/|hardware|6|7|4|5|yes
atlassian|Atlassian Marketplace|Atlassian|Project management|SMB / enterprise|https://marketplace.atlassian.com/|https://developer.atlassian.com/platform/marketplace/pricing-payment-and-billing/|forge|7|8|9|8|yes
jetbrains|JetBrains Marketplace|JetBrains|Developer tools|developer|https://plugins.jetbrains.com/|https://plugins.jetbrains.com/docs/marketplace/revenue-sharing-and-fees.html|jvm|6|8|7|8|yes
vscode|VS Code Marketplace|Microsoft|Developer tools|developer|https://marketplace.visualstudio.com/vscode|https://code.visualstudio.com/api/working-with-extensions/publishing-extension|local-ts|9|7|4|5|unknown
chrome|Chrome Web Store|Google|Browser extensions|consumer / SMB|https://chromewebstore.google.com/|https://github.com/GoogleChrome/developer.chrome.com/blob/main/site/en/docs/webstore/cws-payments-deprecation/index.md|browser|9|7|4|5|no
google-workspace|Google Workspace Marketplace|Google|Office|SMB|https://workspace.google.com/marketplace|https://developers.google.com/workspace/marketplace/how-to-publish|saas|7|7|7|6|unknown
appsource|Microsoft AppSource|Microsoft|Business software|enterprise|https://appsource.microsoft.com/|https://learn.microsoft.com/en-us/partner-center/marketplace-offers/marketplace-commercial-transaction-capabilities-and-considerations|enterprise|7|6|9|5|yes
teams|Microsoft Teams apps|Microsoft|Collaboration|SMB / enterprise|https://teams.microsoft.com/store|https://learn.microsoft.com/en-us/microsoftteams/platform/concepts/deploy-and-publish/appsource/prepare/monetize-overview|saas|7|6|8|6|yes
salesforce|Salesforce AppExchange|Salesforce|CRM|enterprise|https://appexchange.salesforce.com/|https://developer.salesforce.com/blogs/2023/04/prepare-your-app-to-pass-the-appexchange-security-review|enterprise|8|7|9|3|unknown
wordpress|WordPress plugins|WordPress.org|CMS|SMB|https://wordpress.org/plugins/|https://developer.wordpress.org/plugins/wordpress-org/detailed-plugin-guidelines/|php|10|8|6|6|no
woocommerce|WooCommerce extensions|Automattic|E-commerce|SMB|https://woocommerce.com/products/|https://woocommerce.com/document/marketplace-overview/|php|8|8|8|7|yes
samsung|Samsung Galaxy Store|Samsung|Mobile|consumer|https://www.samsung.com/us/apps/galaxy-store/|https://developer.samsung.com/galaxy-store/faq.html|mobile|8|5|4|4|yes
